5862,Valeri,Valeri Emanuele,D,Ds;E,15,5,15,5,Cremonese,19,19,sinistro,Italia,07/12/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VALERI.png?v=29,0,6.16,6.43
694,Baez,Baez Jaime,C,E;W,1,4,1,5,Cremonese,0,0,destro,Uruguay;Spagna,25/04/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,5.75,5.75
5857,Pickel,Pickel Charles,C,M,5,4,5,4,Cremonese,7,7,destro,Svizzera;Repubblica Democratica Del Congo,15/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PICKEL.png?v=29,0,5.73,5.70
5863,Castagnetti,Castagnetti Michele,C,M;C,5,4,5,5,Cremonese,5,5,sinistro,Italia,27/12/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,5.85,5.85
2742,Valzania,Valzania Luca,C,M;C,1,2,1,2,Cremonese,0,0,ambidestro,Italia,05/03/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
4987,Bartolomei,Bartolomei Paolo,C,C,1,1,1,1,Cremonese,0,0,destro,Italia,22/08/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BARTOLOMEI.png?v=29,1,0.0,0.0
5855,Tenkorang,Tenkorang Joshua,C,C,1,1,1,1,Cremonese,0,0,destro,Italia;Ghana,26/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
5829,Milanese,Milanese Tommaso,C,C;T,1,7,1,7,Cremonese,0,0,destro,Italia,31/07/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,5.5,5.5
2842,Zanimacchia,Zanimacchia Luca,A,W;A,5,9,5,10,Cremonese,0,0,destro,Italia,19/07/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZANIMACCHIA.png?v=29,1,5.89,5.82
5864,Buonaiuto,Buonaiuto Cristian,A,A,6,7,6,7,Cremonese,4,4,destro,Italia,29/12/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,6.0,5.97
5865,Strizzolo,Strizzolo Luca,A,A,2,2,2,2,Cremonese,0,0,destro,Italia,29/04/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
212,Ciofani D.,Ciofani Daniel,A,Pc,18,1,18,1,Cremonese,18,18,destro,Italia,31/07/1985 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CIOFANI-D.png?v=29,0,6.12,7.03
4500,Di Carmine,Di Carmine Samuel,A,Pc,2,1,2,1,Cremonese,0,0,destro,Italia,29/09/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DI-CARMINE.png?v=29,1,6.0,6.0
5714,Gondo,Gondo Cedric,A,Pc,5,5,3,3,Cremonese,0,0,destro,Costa D''avorio;Italia,25/11/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
5854,Tsadjout,Tsadjout Frank,A,Pc,12,8,12,7,Cremonese,13,11,sinistro,Italia;Camerun,28/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,5.93,6.39
5448,Furlan,Furlan Jacopo,P,Por,1,1,1,1,Empoli,0,0,destro,Italia,22/02/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/FURLAN.png?v=29,1,0.0,0.0
673,Perisan,Perisan Samuele,P,Por,6,1,6,1,Empoli,8,8,sinistro,Italia,21/08/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,6.25,5.25
4964,Vicario,Vicario Guglielmo,P,Por,13,9,13,9,Empoli,22,22,destro,Italia,07/10/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VICARIO.png?v=29,0,6.46,5.23
5010,Ismajli,Ismajli Ardian,D,Dc,6,3,6,3,Empoli,13,13,destro,Albania;Kosovo,30/09/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ISMAJLI.png?v=29,0,6.05,5.88
144,Tonelli,Tonelli Lorenzo,D,Dc,1,1,1,1,Empoli,1,1,destro,Italia,17/01/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TONELLI.png?v=29,0,0.0,0.0
5718,Viti,Viti Mattia,D,Dc,6,6,6,6,Empoli,0,0,sinistro,Italia,24/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
5739,De Winter,De Winter Koni,D,Dd;Dc,3,4,3,5,Empoli,8,9,destro,Belgio,12/06/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,5.73,5.62
393,Luperto,Luperto Sebastiano,D,Ds;Dc,8,5,8,6,Empoli,14,15,sinistro,Italia,06/09/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LUPERTO.png?v=29,0,5.91,5.91
